,alpha_beta_cvar_weights_daily,risk_parity_weights_daily,ridge_regression,Equal_Weighted
2024-07-19,1.0003794724304238,1.0,,1.0
2024-07-22,0.9995077565641937,0.998949571327551,,1.0
2024-07-23,1.0010055942927991,0.9996208663684771,,1.0
2024-07-24,1.0006036125327038,0.998384206806958,,1.0
2024-07-25,1.0005786463057411,0.9979645429052306,,1.0
2024-07-26,1.0025096008974383,1.0003846461966177,,1.0
2024-07-29,1.002231782029279,0.9998216135653865,,1.0
2024-07-30,1.0024603372324097,1.0001804361847308,,1.0
2024-07-31,1.0047868352841685,1.0041336721275573,,1.0
2024-08-01,1.0053372425621858,1.0049369477360823,,1.0
2024-08-02,1.0050870902832458,1.0062848103640754,,1.0
2024-08-05,1.0050500453516167,1.006411018155143,,1.0
2024-08-06,1.005616230056364,1.0075089655621858,,1.0
2024-08-07,1.0059294555348888,1.0079995332753464,,1.0
2024-08-08,1.0059082371280388,1.007837981162571,,1.0
2024-08-09,1.0070668609304885,1.007956811071996,,1.0
2024-08-12,1.007128367913827,1.008141696007071,,1.0
2024-08-13,1.0076075458669242,1.0091860970299558,,1.0
2024-08-14,1.007231218661042,1.008309218906858,,1.0
2024-08-15,1.0067461926680563,1.0078655359720459,,1.0
2024-08-16,1.0069073535701623,1.0084898346395306,,1.0
2024-08-19,1.006435571725,1.0080983058791024,,1.0
2024-08-20,1.0050529407421562,1.004444968746785,,1.0
2024-08-21,1.004738247310766,1.0040292279321306,,1.0
2024-08-22,1.0039076111032927,1.0025708556568236,,1.0
2024-08-23,1.0023609430001417,1.0024456767839676,,1.0
2024-08-26,1.0023616715164247,1.0024762066224484,,1.0
2024-08-27,1.002368637888096,1.0025835972449935,,1.0
2024-08-28,1.0024267168764254,1.0026799879364503,,1.0
2024-08-29,1.002721384152894,1.0032397294794166,,1.0
2024-08-30,1.0018283653887827,1.004183462795879,,1.0
2024-09-02,1.0015720192434385,1.0037116198005667,,1.0
2024-09-03,1.0018601724365785,1.0042309128801332,,1.0
2024-09-04,1.0021158983994984,1.0046051831060803,1.0004116567993695,1.0003282091252448
2024-09-05,1.0021655442496464,1.0046813251054059,,1.0003282091252448
2024-09-06,1.0040636430876877,1.0052542354762173,,1.0003282091252448
2024-09-09,1.0035009974231999,1.0044158303787452,0.9997784895114822,0.9996673763720398
2024-09-10,1.0035394226519432,1.0043647280027168,,0.9996673763720398
2024-09-11,1.0035766396897825,1.004442505183271,,0.9996673763720398
2024-09-12,1.0035451736404348,1.0043688248283007,1.000859547615237,0.9996845962544322
2024-09-13,1.0034731755368285,1.0045476671696807,,0.9996845962544322
2024-09-18,1.0035498641278617,1.0046948891525036,,0.9996845962544322
2024-09-19,1.0034205308643513,1.0048881809106636,1.0061849749681167,0.9996150585892324
2024-09-20,1.0073148794681939,1.009387871397745,,0.9996150585892324
2024-09-23,1.0073900938125875,1.009663437620819,,0.9996150585892324
2024-09-24,1.0075678315348888,1.009369237101141,1.0064992541609799,0.9999257813928016
2024-09-25,1.0067478562474625,1.0084003200152398,,0.9999257813928016
2024-09-26,1.0075894621145995,1.0098253851390466,,0.9999257813928016
2024-09-27,1.0012992244427668,1.0068117618654413,1.0173593008722324,0.9952803486233038
2024-09-30,1.0102138439431851,1.0193046690546366,,0.9952803486233038
2024-10-08,1.01957752055612,1.0291607397323557,,0.9952803486233038
2024-10-09,1.0260946268705207,1.038648573603647,1.0197985651112498,1.0049290997171234
2024-10-10,1.026857823174688,1.040289069775269,,1.0049290997171234
2024-10-11,1.0355140105059437,1.0484209411130054,,1.0049290997171234
2024-10-14,1.0374097877264379,1.0520489564264872,1.0155517403670926,1.0088729329742103
2024-10-15,1.03731343634883,1.0512844817203801,,1.0088729329742103
2024-10-16,1.037720646921512,1.051968186424141,,1.0088729329742103
2024-10-17,1.037671675767557,1.0517023154990728,1.0208410282228046,1.008577872596643
2024-10-18,1.035182425558677,1.0514362566206394,,1.008577872596643
2024-10-21,1.0366478938799182,1.0536410302281687,,1.008577872596643
2024-10-22,1.0376577983205881,1.0555253671171319,1.0243364178981094,1.0105618003710901
2024-10-23,1.038083541226684,1.056594793145776,,1.0105618003710901
2024-10-24,1.038432958075774,1.057353910742518,,1.0105618003710901
2024-10-25,1.046658478113258,1.064257528140049,1.0237090757023901,1.0173459540675938
2024-10-28,1.0465802813249043,1.0642839837057532,,1.0173459540675938
2024-10-29,1.0468905938756095,1.0648986289680307,,1.0173459540675938
2024-10-30,1.047153409979252,1.0653212326975565,1.025172677689563,1.0177555588228901
2024-10-31,1.0473013981326926,1.0657827003943805,,1.0177555588228901
2024-11-01,1.0487358443685693,1.0673393723738132,,1.0177555588228901
2024-11-04,1.0486602234719034,1.0666964226072182,1.0272392583084318,1.0175000454931573
2024-11-05,1.0489267905299275,1.064994472393401,,1.0175000454931573
2024-11-06,1.050216273202387,1.0674551440291222,,1.0175000454931573
2024-11-07,1.0510715281778196,1.0674692514623345,1.0390450460652103,1.0185548215295706
2024-11-08,1.0580637924629694,1.0705967934020757,,1.0185548215295706
2024-11-11,1.0582268056115005,1.0707807077738214,,1.0185548215295706
2024-11-12,1.0584554396593597,1.0718872319955361,1.0385131813999569,1.019037160635232
2024-11-13,1.0585263275045553,1.0716497436145018,,1.019037160635232
2024-11-14,1.0582269601110883,1.0721508803298931,,1.019037160635232
2024-11-15,1.0564974491723207,1.0713752583880698,1.0378176575930809,1.0181674028417282
2024-11-18,1.056460108433771,1.0716538734692798,,1.0181674028417282
2024-11-19,1.0567483220796927,1.0724137401989187,,1.0181674028417282
2024-11-20,1.0567399113313602,1.0724878083136884,1.0373452705401294,1.0182073153268496
2024-11-21,1.0570694509195129,1.072749886193444,,1.0182073153268496
2024-11-22,1.059553278159093,1.0726632059246668,,1.0182073153268496
2024-11-25,1.0593176173218801,1.0724562209702342,1.036156204426261,1.0179873943058038
2024-11-26,1.059279572794976,1.0725019622422778,,1.0179873943058038
2024-11-27,1.059360075460955,1.0728374943811596,,1.0179873943058038
2024-11-28,1.0592494952570295,1.072779322387624,1.0436593087499184,1.0179145370871499
2024-11-29,1.0637834465263465,1.0755443250181649,,1.0179145370871499
2024-12-02,1.063764400983379,1.0755364876514428,,1.0179145370871499
2024-12-03,1.0637346440974582,1.0751025628282544,1.043019236459135,1.017695992487527
2024-12-04,1.0636139458474725,1.0751821411757712,,1.017695992487527
